"SYMC","Symantec Corporation","19.81","NASDAQ100"
"TSLA","Tesla Motors, Inc.","253.19","NASDAQ100"
"TXN","Texas Instruments Incorporated","47.83","NASDAQ100"
"PCLN","The Priceline Group Inc. ","1286.83","NASDAQ100"
"TSCO","Tractor Supply Company","86.11","NASDAQ100"
"TRIP","TripAdvisor, Inc.","67.79","NASDAQ100"
"VRSK","Verisk Analytics, Inc.","73.17","NASDAQ100"
"VRTX","Vertex Pharmaceuticals Incorporated","134.85","NASDAQ100"
"VIAB","Viacom Inc.","43.81","NASDAQ100"
"VIP","VimpelCom Ltd.","4.66","NASDAQ100"
"VOD","Vodafone Group Plc","34.29","NASDAQ100"
"WBA","Walgreens Boots Alliance, Inc.","90.17","NASDAQ100"
"WDC","Western Digital Corporation","80.64","NASDAQ100"
"WFM","Whole Foods Market, Inc.","32","NASDAQ100"
"WYNN","Wynn Resorts, Limited","68.47","NASDAQ100"
"XLNX","Xilinx, Inc.","42.83","NASDAQ100"
"YHOO","Yahoo! Inc.","30.32","NASDAQ100"
"BA","Boeing Company (The)","134.43","DOW"
"CAT","Caterpillar, Inc.","72.77","DOW"
"CVX","Chevron Corporation","75.77","DOW"
"KO","Coca-Cola Company (The)","38.1","DOW"
"DD","E.I. du Pont de Nemours and Company","47.98","DOW"
"XOM","Exxon Mobil Corporation","72.49","DOW"
"GE","General Electric Company","24.77","DOW"
"HD","Home Depot, Inc. (The)","114.73","DOW"
"MCD","McDonald&#39;s Corporation","96.97","DOW"
"NKE","Nike, Inc.","111.89","DOW"
"PG","Procter & Gamble Company (The)","68.06","DOW"
"UTX","United Technologies Corporation","91.83","DOW"
"VZ","Verizon Communications Inc.","45.65","DOW"
"V","Visa Inc.","70.01","DOW"
"WMT","Wal-Mart Stores, Inc.","64.28","DOW"
"DIS","Walt Disney Company (The)","103.82","DOW"
"CLGX","CoreLogic, Inc.","37.85","TECHNOLOGY"
"GLOB","Globant S.A.","29.88","TECHNOLOGY"
"RLGY","Realogy Holdings Corp.","40.22","FINANCE"
"CBR","Ciber, Inc.","3.16","TECHNOLOGY"
"NNI","Nelnet, Inc.","36.67","FINANCE"
"PFS","Provident Financial Services, Inc","19.32","FINANCE"
"LUV","Southwest Airlines Company","38.87","TRANSPORTATION"
"ARL","American Realty Investors, Inc.","7.4499","FINANCE"
"WTM","White Mountains Insurance Group, Ltd.","765.72","FINANCE"
"HRC","Hill-Rom Holdings Inc","52.77","HEALTH CARE"
"RBS^G","Royal Bank Scotland plc (The)","24.93","FINANCE"
"SFN","Stifel Financial Corporation","25.71","FINANCE"
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","14.88","TRANSPORTATION"
"MN","Manning & Napier, Inc.","7.42","FINANCE"
"EVTC","Evertec, Inc.","18.14","TECHNOLOGY"
"LCI","Lannett Co Inc","55.8","HEALTH CARE"
"EJ","E-House (China) Holdings Limited","5.71","FINANCE"
"STL","Sterling Bancorp","14.51","FINANCE"
"CSX","CSX Corporation","28.39","TRANSPORTATION"
